Latitude,Longitude
53.8039884058,-1.5351050849
53.8039884058,-1.5351050849
53.7976037895,-1.5754984545
53.7403223155,-1.3970524596
53.7403223155,-1.3970524596
53.7692765558,-1.6366674219
53.7962998549,-1.5506294634
53.8365252241,-1.6194010124
53.7572459183,-1.570035553
53.7572459183,-1.570035553
53.8448952237,-1.5130394271
53.9073857543,-1.3798393688
53.9073857543,-1.3798393688
53.8702351774,-1.704260102
53.8168486217,-1.6021729447
53.7994000468,-1.4813795504
53.7994000468,-1.4813795504
53.8015285891,-1.4979030271
53.8015285891,-1.4979030271
53.8015285891,-1.4979030271
53.8246699335,-1.4442279924
53.885688067,-1.4576898177
53.885688067,-1.4576898177
53.885688067,-1.4576898177
53.885688067,-1.4576898177
53.8177181118,-1.5159061419
53.8177181118,-1.5159061419
53.8177181118,-1.5159061419
53.8177181118,-1.5159061419
53.7996230126,-1.620175295
53.7996230126,-1.620175295
53.8320460693,-1.5095265825
53.8235015984,-1.4423141629
53.733368367,-1.5711128222
53.7972137591,-1.4525612906
53.7987453243,-1.527420119
53.8484566148,-1.6068135529
53.7411369195,-1.5085990252
53.7411369195,-1.5085990252
53.7411369195,-1.5085990252
53.7411369195,-1.5085990252
53.7815785713,-1.5461579889
53.7825054386,-1.5759391121
53.7553791256,-1.4696822608
53.7553791256,-1.4696822608
53.7553791256,-1.4696822608
53.8661519715,-1.6820873693
53.7612241261,-1.6399374579
53.7612241261,-1.6399374579
53.7412443992,-1.5085068031
53.8224677038,-1.5789234923
53.7984293686,-1.5577119221
53.7984293686,-1.5577119221
53.7984293686,-1.5577119221
53.7984293686,-1.5577119221
53.7984293686,-1.5577119221
53.7984293686,-1.5577119221
53.7496316954,-1.6347137995
53.7783558965,-1.5285595759
53.7922656781,-1.3883386264
53.7998378073,-1.5449741046
53.8320003652,-1.5677969582
53.771669833,-1.5086675212
53.771669833,-1.5086675212
53.8096429555,-1.5543441318
53.8785855443,-1.4733883296
53.8785855443,-1.4733883296
53.8785855443,-1.4733883296
53.8785855443,-1.4733883296
53.8222190398,-1.5087602337
53.8098677114,-1.5171810717
53.7947169114,-1.4771563148
53.771778698,-1.5799161349
53.771778698,-1.5799161349
53.7455534021,-1.6015574056
53.7830396251,-1.5770416143
53.7766935746,-1.5545564879
53.7448262306,-1.5533316333
53.7964996291,-1.5346565125
53.7964996291,-1.5346565125
53.7964996291,-1.5346565125
53.7964996291,-1.5346565125
53.8052634581,-1.5489089288
53.7531111154,-1.4771875443
53.8031182203,-1.5667728661
53.815922129,-1.6046726054
53.8315812771,-1.4638889158
53.7970576998,-1.5969858727
53.8216603787,-1.5593358857
53.8216603787,-1.5593358857
53.8216603787,-1.5593358857
53.8396483123,-1.543296707
53.8396483123,-1.543296707
53.8396483123,-1.543296707
53.8396483123,-1.543296707
53.7988543757,-1.6390536917
53.7988543757,-1.6390536917
53.8159927336,-1.5653036009
53.7413299257,-1.4228127448
53.7413299257,-1.4228127448
53.7413299257,-1.4228127448
53.7385349473,-1.5486379112
53.8515249828,-1.5211408204
53.7732533291,-1.3739273717
53.8827142554,-1.7582525764
53.8827142554,-1.7582525764
53.8827142554,-1.7582525764
53.8118715481,-1.5689910779
53.8139613638,-1.5387917163
53.7969426001,-1.547070116
53.7969959758,-1.5589870637
53.8195818111,-1.5761575007
53.92809759,-1.3840403495
53.92809759,-1.3840403495
53.7608735549,-1.5740788514
53.8045978685,-1.5393195858
53.8261761586,-1.5703027975
53.7551165185,-1.483653916
53.7941889324,-1.4321827255
53.7941889324,-1.4321827255
53.7941889324,-1.4321827255
53.8071014657,-1.511032449
53.7412533869,-1.5085066983
53.7412533869,-1.5085066983
53.7412533869,-1.5085066983
53.7412533869,-1.5085066983
53.7581442916,-1.517910688
53.7581442916,-1.517910688
53.8193556167,-1.5757344723
53.8449274612,-1.6217718774
53.8051271849,-1.5705634743
53.7869719798,-1.6573690771
53.8434568152,-1.6652978841
53.9056241104,-1.37809981
53.9056241104,-1.37809981
53.73238613,-1.6098521334
53.7634110784,-1.4278649533
53.7634110784,-1.4278649533
53.7634110784,-1.4278649533
53.7634110784,-1.4278649533
53.7634110784,-1.4278649533
53.8683701095,-1.6780102094
53.8683701095,-1.6780102094
53.7994393222,-1.5418204672
53.80025317,-1.5337647467
53.7991351193,-1.4159011146
53.7793062593,-1.5685355162
53.8117975909,-1.5210315724
53.8072819392,-1.536116453
53.8072819392,-1.536116453
53.8072819392,-1.536116453
53.8999134074,-1.5115632028
53.8999134074,-1.5115632028
53.8999134074,-1.5115632028
53.814087849,-1.455303152
53.8007181252,-1.5617416861
53.8007181252,-1.5617416861
53.7395818111,-1.3999436384
53.7322538063,-1.5123102347
53.7322538063,-1.5123102347
53.72835848,-1.4691733931
53.7995242748,-1.5452507814
53.8069696701,-1.475561354
53.7959573155,-1.543224704
53.7975451731,-1.5592393951
53.798267271,-1.5292776986
53.798267271,-1.5292776986
53.798267271,-1.5292776986
53.798267271,-1.5292776986
53.7618511975,-1.4969503313
53.7865194189,-1.526874445
53.7802068954,-1.3125901391
53.8191562764,-1.575280798
53.838651757,-1.5050272099
53.8015197403,-1.495792664
53.8721548948,-1.349638478
53.796751557,-1.5609632168
53.7125601624,-1.5709304338
53.7854685626,-1.5552680048
53.7854685626,-1.5552680048
53.817272151,-1.5711684637
53.8365513681,-1.6191424466
53.8048246522,-1.4887833818
53.8303129146,-1.5863049147
53.7967403077,-1.3775705253
53.9011560033,-1.3607703277
53.8020720444,-1.6450690487
53.8083915124,-1.5513658191
